Fe,Si,Al,B,P,Cu,Ag,Au,V,Cr,Zr,Nb,Mo,W,Pr,Gd,TA,tA,ln(Grain Diameter (nm))
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.140066163
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,853,3600,2.396403848
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,1113,1800,2.58021683
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,653,600,3.453621535
68.5,13.5,5,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.334204249
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,653,600,3.857731498
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,796,3600,2.442347035
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,813,3600,2.314085355
73.1,17.5,0.4,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.388730024
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,653,3600,2.079441542
73,13.5,0,9,0,1.5,0,0,0,0,0,3,0,0,0,0,823,3600,2.393627068
73.5,13.5,0,9,0,1,0,0,1.5,0,0,1.5,0,0,0,0,833,1800,2.397895273
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,753,1800,1.223775432
72.9,17.5,0.6,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.384296737
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,723,600,3.689796465
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,693,1800,0.78845736
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,723,600,2.685160244
86,1,0,8,4,1,0,0,0,0,0,0,0,0,0,0,732.8121086,600,2.944438979
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,723,1800,0.993251773
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,803.15,3600,3.222919638
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,633,600,3.577896639
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,813,1800,2.066862759
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,783,1500,2.397895273
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,848,3600,2.517696473
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,2.819850955
83.3,4,0,8,4,0.7,0,0,0,0,0,0,0,0,0,0,747.7824296,600,2.302585093
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,823,3600,3.735396982
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,2.14064
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,2.561230611
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,798,3600,2.48490665
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,748,600,3.641922471
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,793,3600,2.349100397
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,2.484108056
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,823,3600,2.300828971
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,673,600,3.352957525
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,903,3600,2.772588722
83.25,4,0,8,4,0.75,0,0,0,0,0,0,0,0,0,0,723.1117318,1800,2.838846909
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,2.433613355
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,753,3600,2.146793724
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.195911648
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,853.15,3600,3.387098457
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,793,3600,2.353714439
73.5,13.5,0,9,0,1,0,0,0,0,2,1,0,0,0,0,773,3600,2.397895273
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,903,3600,2.772588722
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,1800,2.525728644
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,2.131349401
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,848,3600,2.48490665
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,732.8121086,600,2.772588722
74,13.5,0,9,0,0.5,0,0,0,0,0,3,0,0,0,0,823,3600,2.572298415
63.5,13.5,10,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.343199812
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,873,3600,2.643730235
65.5,13.5,8,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.255917028
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,813.15,3600,3.974954611
86,0,0,6,0,1,0,0,0,0,7,0,0,0,0,0,875,3600,2.360262839
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,833,3600,2.631144632
86,0,0,6,0,1,0,0,0,0,7,0,0,0,0,0,811,3600,2.995732274
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,743,3600,2.48490665
73.5,13.5,0,9,0,0,1,0,0,0,0,3,0,0,0,0,973,3600,4.762782559
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,2.48490665
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,819,3600,3.135494216
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,923,3600,2.63905733
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,457,3600,2.944438979
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,698,600,3.763969906
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,813,3600,2.396403848
73.5,13.5,0,9,0,1,0,0,1,0,0,2,0,0,0,0,833,1800,2.485707611
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,613,600,3.228008309
73.5,13.5,0,9,0,1,0,0,2,0,0,1,0,0,0,0,753,300,2.995732274
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.397895273
84.3,4,0,8,3,0.7,0,0,0,0,0,0,0,0,0,0,747.7656728,600,2.833213344
83,4,0,8,4,1,0,0,0,0,0,0,0,0,0,0,723,1800,2.806073521
74,0,0,18,0,1,0,0,0,0,7,0,0,0,0,0,837,3600,1.906972281
84,0,0,8,0,1,0,0,0,0,7,0,0,0,0,0,811,3600,2.975731607
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,993,3600,3.828641396
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,833,3600,2.353714439
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,870,3600,2.197224577
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,803,3600,2.140066163
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,748,600,2.891390606
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,823,3600,2.302667187
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.250254695
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,799,3600,2.079441542
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,898,3600,2.595254707
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,1023,1800,2.557227311
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,773,600,3.671761294
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,793,3600,2.47404134
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,798,300,2.564949357
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,823,2700,2.48490665
86,0,0,6,0,1,0,0,0,0,7,0,0,0,0,0,825,3600,2.320430926
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,996,3600,3.871201011
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,613,600,3.006681288
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,673,600,3.808902588
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,2.334204249
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,823,3600,2.397895273
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.248700004
73.5,17.5,0,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.451312933
73.5,13.5,0,9,0,0,1,0,0,0,0,3,0,0,0,0,1023,3600,4.871355502
73.5,13.5,0,9,0,1,0,0,0,0,0,1,2,0,0,0,738,3600,2.833213344
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,848,3600,2.48490665
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,673,600,3.805234355
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,929,3600,2.772588722
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,633,600,3.552986166
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813.15,3600,2.416672419
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,2.402356247
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,2.389604214
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.140066163
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,973,1800,2.549445171
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,743,3600,2.48490665
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,833,3600,2.297320518
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,1173.15,3600,5.696358653
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,813.15,3600,2.644961295
86,0,0,6,0,1,0,0,0,0,7,0,0,0,0,0,724,3600,1.821637124
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,723,1800,1.064710737
73.5,13.5,0,9,0,1,0,0,0,0,0,0,0,0,3,0,823,3600,2.708050201
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,1200,2.797613477
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,930,3600,3.63758616
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,813,1800,2.116255515
69.5,13.5,4,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.297390276
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,793,1800,2.089391873
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,798,3600,2.48490665
86,0,0,6,0,1,0,0,0,0,7,0,0,0,0,0,977,3600,3.732391205
73.3,17.5,0.2,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.39812252
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,2.302585093
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,698,600,3.681512938
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,873,3600,2.708050201
72.5,17.5,1,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.518013243
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,653,600,3.805234355
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,2.280214995
83.5,4,0,8,4,0.5,0,0,0,0,0,0,0,0,0,0,723,1800,3.127622793
72.7,17.5,0.8,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.360921385
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,973,1800,2.549445171
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,2.549445171
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,2.395827135
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,698,600,3.262321896
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,773,1800,1.931521412
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.397895273
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.397895273
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,748,600,3.653394872
73.5,13.5,0,9,0,1,0,0,2,0,0,1,0,0,0,0,773,300,3.044522438
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,923,3600,2.482578425
73.5,13.5,0,9,0,1,0,0,0,0,0,1,2,0,0,0,798,300,2.833213344
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,873,3600,2.335237697
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,773,3600,2.299743013
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,2.947024073
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.262886159
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,591,3600,2.079441542
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,833,3600,2.378331068
73.5,13.5,0,9,0,1,0,0,0,0,0,2,0,0,0,1,823,2700,2.944438979
84,4,0,8,4,0,0,0,0,0,0,0,0,0,0,0,722.8510242,1800,3.972092744
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,869,3600,3.36729583
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.322066228
85,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,698,116.1290323,2.810309137
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,753,3600,2.302070252
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,2.397895273
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,833,3600,2.325870508
82.5,4,0,8,4,1.5,0,0,0,0,0,0,0,0,0,0,723.1117318,1800,2.776524136
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,613,600,2.725631739
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,633,600,3.234532434
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,773,600,3.590122976
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,498,3600,2.079441542
73.5,13.5,0,9,0,1,0,0,0,0,0,0,0,0,0,3,823,3600,2.708050201
71,0,0,21,0,1,0,0,0,0,7,0,0,0,0,0,823,3600,1.814598961
69,0,0,23,0,1,0,0,0,0,7,0,0,0,0,0,808,3600,1.906972281
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,773,3600,2.79393494
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,823,3600,2.768035767
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,923,3600,2.913789902
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,953,3600,2.854716412
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,973,3600,3.772449015
73.5,13.5,0,9,0,0,1,0,0,0,0,3,0,0,0,0,873,3600,4.386249407
73.5,13.5,0,9,0,0,1,0,0,0,0,3,0,0,0,0,1073,3600,4.871661284
73.5,13.5,0,9,0,0,1,0,0,0,0,3,0,0,0,0,1123,3600,4.871969109
80.5,0,0,12.5,0,0,0,0,0,0,0,7,0,0,0,0,743,3600,2.079441542
80.5,0,0,12.5,0,0,0,0,0,0,0,7,0,0,0,0,783,3600,2.48490665
80.5,0,0,12.5,0,0,0,0,0,0,0,7,0,0,0,0,883,3600,2.890371758
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,818,3600,1.386294361
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,853,3600,2.772588722
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,898,3600,3.63758616
83,2,0,13,0,1,0,0,0,0,1,0,0,0,0,0,763,300,3.349904087
83,2,0,11,2,1,0,0,0,0,1,0,0,0,0,0,763,300,3.33220451
83,2,0,9,4,1,0,0,0,0,1,0,0,0,0,0,763,300,3.135494216
83,2,0,7,6,1,0,0,0,0,1,0,0,0,0,0,763,300,2.890371758
83,2,0,5,8,1,0,0,0,0,1,0,0,0,0,0,763,300,2.833213344
83,3,0,11,2,1,0,0,0,0,0,0,0,0,0,0,793,60,3.306886702
83,3,0,11,2,1,0,0,0,0,0,0,0,0,0,0,813,30,2.970414466
71.25,23.75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,623,3600,1.704748092
71.25,23.75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,673,3600,2.014903021
71.25,23.75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,723,3600,2.104134154
71.25,23.75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,773,3600,4.605170186
